Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbit Semi-Major Axis [au],Planet Radius [Earth Radius],Planet Radius [Jupiter Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Data show Transit Timing Variations,Impact Parameter,Transit Duration [hours],Ratio of Planet to Stellar Radius,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc]
Kepler-703 b,Kepler-703,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.58352176,0.0535,8.2,0.732,51.1,0.161,0.509,0.0,373.11,1038.0,0,0.0383,2.715,0.05941,6185.0,1.27,1.18,0.067,4.29,2.69,2.29924,19h56m44.85s,299.1868586,+41d44m33.72s,41.742699,1156.83
Kepler-704 b,Kepler-704,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.76182115,0.047,2.61,0.233,7.32,0.023,2.26,0.0,514.12,1121.0,0,0.59,3.3906,0.02499,5616.0,0.96,0.97,0.036,4.46,5.13,0.12677,18h53m15.93s,283.3163671,+41d50m13.54s,41.8370942,1228.83
Kepler-705 b,Kepler-705,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,56.0560538,0.232,2.11,0.188,5.1,0.016,2.98,0.0,0.73,265.0,0,0.018,4.595,0.03825,3722.0,0.51,0.53,-1.385,4.75,3.89,4.55841,19h18m02.05s,289.5085612,+41d48m43.28s,41.8120234,276.881
Kepler-707 b,Kepler-707,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.23749275,0.0325,1.33,0.119,2.33,0.00733,5.44,0.0,336.67,1160.0,0,0.961,1.8241,0.01635,5099.0,0.76,0.8,-0.501,4.58,4.9,3.2332,19h20m01.82s,290.007564,+42d06m59.29s,42.1164698,591.776
Kepler-708 b,Kepler-708,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.16789194,0.0426,2.93,0.261,8.91,0.028,1.95,0.0,684.76,1221.0,0,0.026,2.1875,0.02792,5692.0,0.96,0.97,0.037,4.47,4.37,2.78453,19h35m15.95s,293.8164588,+42d12m45.06s,42.2125159,1394.22
Kepler-709 b,Kepler-709,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,16.08524954,0.1173,2.92,0.261,8.85,0.0279,1.95,0.0,28.22,613.0,0,0.1067,3.5655,0.03533,5071.0,0.77,0.8,-0.481,4.58,4.9,3.27029,19h28m25.27s,292.105272,+42d22m49.11s,42.3803077,664.843
Kepler-710 b,Kepler-710,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.34728553,0.0524,1.88,0.168,4.19,0.0132,3.47,0.0,710.87,1174.0,0,0.2089,2.0739,0.01944,5611.0,0.91,0.94,0.265,4.5,4.17,4.18264,19h27m51.39s,291.9641255,+42d41m46.07s,42.6961308,1448.34
Kepler-711 b,Kepler-711,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,23.58914398,0.1429,3.41,0.304,11.5,0.0363,1.59,0.0,15.57,487.0,0,0.908,4.7592,0.03895,5222.0,0.8,0.84,-0.499,4.56,4.37,0.16337,19h49m50.41s,297.4600468,+42d50m23.34s,42.8398172,624.575
Kepler-712 b,Kepler-712,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,21.02247699,0.1378,3.41,0.304,11.5,0.0363,1.59,0.0,15.8,521.0,0,0.76,4.0906,0.03982,5148.0,0.78,0.84,-0.484,4.58,3.31,2.85327,19h39m38.32s,294.9096739,+42d56m06.72s,42.9351987,872.493
Kepler-712 c,Kepler-712,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,226.89047,0.6732,4.85,0.433,21.0,0.0659,1.01,0.0,0.66,236.0,0,0.85,7.525,0.05718,5148.0,0.78,0.84,-0.484,4.58,3.31,2.02177,19h39m38.32s,294.9096739,+42d56m06.72s,42.9351987,872.493
Kepler-713 b,Kepler-713,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,7.411141,0.0748,2.48,0.221,6.71,0.0211,2.42,0.0,228.28,905.0,0,0.0062,2.4852,0.0232,5785.0,0.99,0.98,0.085,4.44,3.8,4.36629,19h42m36.33s,295.6513819,+43d01m47.20s,43.0297781,1089.87
Kepler-714 b,Kepler-714,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,8.09888799,0.0832,9.67,0.863,67.6,0.213,0.411,0.0,484.01,986.0,0,0.054,4.21479,0.07906,5995.0,1.12,1.09,0.46,4.37,3.55,1.14941,18h50m47.87s,282.6994685,+43d16m21.88s,43.2727437,2083.37
Kepler-715 b,Kepler-715,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,10.00652995,0.0933,3.75,0.335,13.5,0.0426,1.41,0.0,181.41,876.0,0,0.769,5.218,0.03268,5871.0,1.04,1.04,0.165,4.42,3.98,0.1029,18h54m31.39s,283.6307971,+43d22m45.71s,43.3793638,1327.44
Kepler-716 b,Kepler-716,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,10.37168453,0.0873,2.9,0.259,8.75,0.0275,1.97,0.0,42.49,720.0,0,0.537,3.0479,0.034,5099.0,0.78,0.83,-0.504,4.58,4.57,2.2726,19h21m34.36s,290.3931809,+43d21m49.89s,43.3638577,635.009
Kepler-716 c,Kepler-716,1,2,0,Transit,2020,0.95 m Kepler Telescope,Kepler CCD Array,0,3.96999,0.046,1.393,0.124,2.52,0.00793,5.12,0.0,229.37,992.0,0,0.115,1.1857,0.01674,5012.0,0.74,0.83,-0.504,4.62,6.2,2.86227,19h21m34.36s,290.3931809,+43d21m49.89s,43.3638577,635.009
Kepler-717 b,Kepler-717,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.40840023,0.052,2.42,0.216,6.44,0.0203,2.5,0.0,398.0,1139.0,0,0.04,4.933,0.02605,5485.0,0.85,0.88,0.604,4.53,4.37,0.03994,19h31m51.72s,292.9655071,+43d20m46.84s,43.346345,2805.48
Kepler-718 b,Kepler-718,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.0523499,0.0322,16.56,1.477,41600.0,131.0,50.3,0.0,1324.2,1497.0,0,0.437,2.0801,0.11659,6191.0,1.3,1.18,0.134,4.28,2.57,2.08526,19h58m14.85s,299.5618676,+43d30m12.66s,43.5035173,1302.33
Kepler-719 b,Kepler-719,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.00731778,0.0556,8.52,0.76,54.5,0.172,0.484,0.0,234.28,998.0,0,0.341,4.2223,0.08011,5777.0,0.98,0.99,0.448,4.45,3.98,0.68424,19h42m08.66s,295.5360628,+43d53m03.88s,43.8844116,2497.51
Kepler-720 b,Kepler-720,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.70832654,0.0539,8.41,0.75,53.4,0.168,0.493,0.0,384.56,1162.0,0,0.0078,3.17455,0.084,5618.0,0.92,0.95,0.032,4.49,3.63,1.58713,19h54m32.56s,298.6356478,+44d10m15.38s,44.1709388,1065.37
Kepler-721 b,Kepler-721,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.39202539,0.0583,2.64,0.236,7.46,0.0235,2.23,0.0,138.75,850.0,0,0.79,2.981,0.03147,5075.0,0.78,0.82,-0.362,4.58,4.9,1.70108,18h57m43.32s,284.4305132,+44d28m49.36s,44.4803776,926.598
Kepler-722 b,Kepler-722,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.09357325,0.0514,2.63,0.235,7.41,0.0233,2.24,0.0,414.6,1182.0,0,0.1554,2.2856,0.02252,5863.0,1.05,1.03,-0.039,4.41,4.37,2.9936,19h21m03.19s,290.2632874,+44d33m23.06s,44.5564051,1239.5
Kepler-722 c,Kepler-722,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,105.144749,0.4471,2.82,0.252,8.35,0.0263,2.05,0.0,5.48,401.0,0,0.964,7.239,0.02488,5863.0,1.05,1.03,-0.039,4.41,4.37,1.72522,19h21m03.19s,290.2632874,+44d33m23.06s,44.5564051,1239.5
Kepler-724 b,Kepler-724,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.31494634,0.0433,3.29,0.294,10.8,0.0341,1.67,0.0,339.4,1155.0,0,0.895,1.7069,0.03524,5437.0,0.86,0.9,-0.223,4.53,4.37,6.24879,19h33m49.16s,293.4548441,+44d47m34.02s,44.7927823,853.119
Kepler-725 b,Kepler-725,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,39.64317811,0.215,10.63,0.948,79.4,0.25,0.363,0.0,10.97,472.0,1,0.024,6.4663,0.11563,5363.0,0.84,0.88,-0.313,4.54,4.37,1.64307,18h55m54.60s,283.9774949,+44d48m41.62s,44.8115613,758.469
Kepler-726 b,Kepler-726,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,21.80451088,0.1406,3.26,0.291,10.7,0.0336,1.7,0.0,25.3,543.0,0,0.751,3.3931,0.03461,5452.0,0.85,0.88,-0.319,4.53,4.47,1.66656,19h26m52.15s,291.7172776,+44d53m14.45s,44.8873466,762.081
Kepler-727 b,Kepler-727,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.15448442,0.0546,2.53,0.226,6.94,0.0218,2.35,0.0,176.69,964.0,0,0.7713,2.8866,0.02745,5441.0,0.86,0.89,-0.317,4.53,4.79,0.5727,19h39m23.26s,294.8469333,+45d02m03.90s,45.0344155,831.842
Kepler-728 b,Kepler-728,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.74347727,0.0625,3.34,0.298,11.1,0.035,1.64,0.0,484.51,982.0,0,0.64,3.4527,0.03321,5660.0,0.93,0.95,0.227,4.49,4.07,1.31116,19h24m22.17s,291.0923621,+45d06m55.83s,45.1155087,1765.23
Kepler-729 b,Kepler-729,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.16635371,0.0432,3.58,0.319,12.5,0.0394,1.5,0.0,1089.55,1273.0,0,0.0645,3.3039,0.03638,5633.0,0.91,0.94,0.261,4.5,4.27,0.8273,19h05m26.41s,286.3600604,+45d24m51.36s,45.4142664,1921.15
Kepler-730 c,Kepler-730,1,2,0,Transit,2018,0.95 m Kepler Telescope,Kepler CCD Array,0,2.85188338,0.03997,1.569,0.14,3.09,0.00971,4.39,0.0,903.77,1607.0,0,0.659,2.76,0.01025,5620.0,1.41,1.05,0.236,4.16,9.5,0.529,19h02m13.15s,285.5547895,+45d34m43.83s,45.578842,1935.04
Kepler-732 b,Kepler-732,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,9.46781405,0.0691,2.18,0.194,5.39,0.017,2.86,0.0,8.56,407.0,0,0.081,2.4437,0.04332,3631.0,0.46,0.49,-1.375,4.79,4.47,5.14049,18h54m55.61s,283.7317274,+45d57m30.70s,45.9585288,174.826
Kepler-732 c,Kepler-732,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,0.89304124,0.0143,1.27,0.113,2.15,0.00678,5.77,0.0,199.85,893.0,0,0.0468,1.1042,0.02547,3631.0,0.46,0.49,-1.375,4.79,4.47,5.14049,18h54m55.61s,283.7317274,+45d57m30.70s,45.9585288,174.826
Kepler-733 b,Kepler-733,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,20.83424726,0.1483,2.82,0.252,8.35,0.0263,2.05,0.0,24.51,595.0,0,0.256,4.0748,0.02989,5418.0,0.86,0.9,-0.298,4.53,4.27,2.62459,19h32m04.37s,293.0181882,+45d54m52.94s,45.9147063,916.706
Kepler-734 b,Kepler-734,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,6.10485286,0.0583,3.56,0.318,12.4,0.039,1.51,0.0,89.25,784.0,0,0.018,4.676,0.04224,5326.0,0.78,0.85,0.374,4.59,2.34,0.57209,19h48m10.95s,297.0456122,+46d01m38.60s,46.0273893,1157.21
Kepler-735 b,Kepler-735,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,11.51516988,0.0965,2.95,0.263,9.01,0.0283,1.93,0.0,32.68,657.0,0,0.2438,2.0189,0.03398,5107.0,0.8,0.85,-0.517,4.57,4.37,11.97771,18h58m45.32s,284.6888328,+46d10m19.70s,46.1721391,695.059
Kepler-736 b,Kepler-736,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.60147201,0.0428,2.93,0.261,8.91,0.028,1.95,0.0,233.03,996.0,0,0.021,2.522,0.03281,5217.0,0.81,0.86,-0.35,4.56,4.27,2.78265,19h01m33.91s,285.3913092,+46d10m51.35s,46.1809293,1005.43
Kepler-737 b,Kepler-737,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,28.59915399,0.1422,1.96,0.175,4.5,0.0142,3.28,0.0,2.3,298.0,0,0.894,3.6632,0.03745,3813.0,0.48,0.51,-1.301,4.77,3.89,5.23896,19h27m27.12s,291.8629793,+46d25m44.98s,46.4291614,205.118
Kepler-738 b,Kepler-738,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,24.58721573,0.1552,2.5,0.223,6.8,0.0214,2.39,0.0,27.64,530.0,0,0.1088,3.8669,0.02823,5327.0,0.82,0.86,-0.213,4.55,4.57,3.83443,19h10m16.72s,287.5696516,+46d34m04.44s,46.5679011,1113.65
Kepler-739 b,Kepler-739,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,12.53248465,0.1054,3.32,0.296,11.0,0.0346,1.65,0.0,115.96,775.0,0,0.0247,4.0098,0.03416,5601.0,0.9,0.93,0.018,4.51,4.27,0.90987,19h20m16.32s,290.067994,+46d34m44.95s,46.5791535,1370.65
Kepler-74 b,Kepler-74,1,1,0,Transit,2013,0.95 m Kepler Telescope,Kepler CCD Array,0,7.340711,0.0781,10.76,0.96,200.22,0.63,0.88,0.0,337.68,1078.0,0,0.685,3.082,0.0912,6000.0,1.12,1.18,0.332,4.44,0.8,1.3,19h32m22.21s,293.0925275,+41d21m19.83s,41.3555095,1177.55
Kepler-740 b,Kepler-740,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.58410122,0.0462,4.57,0.408,18.9,0.0596,1.09,0.0,432.87,1131.0,0,0.66,2.7445,0.04833,5438.0,0.87,0.91,-0.123,4.52,4.79,1.68147,19h05m55.74s,286.4822566,+46d41m32.84s,46.692456,1442.02
Kepler-741 b,Kepler-741,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,7.03902374,0.0744,2.97,0.265,9.11,0.0287,1.91,0.0,461.99,1051.0,0,0.862,3.8898,0.02203,6129.0,1.24,1.16,0.332,4.31,3.16,1.09896,19h17m43.62s,289.4317294,+46d37m02.99s,46.6174978,1661.87
Kepler-742 b,Kepler-742,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,8.36086824,0.0744,3.24,0.289,10.6,0.0332,1.71,0.0,38.1,690.0,0,0.3826,2.7016,0.04212,4642.0,0.71,0.76,-0.692,4.62,2.57,3.26173,18h55m27.83s,283.8659676,+46d47m22.75s,46.7896522,489.253
Kepler-743 b,Kepler-743,2,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.17926292,0.0418,1.21,0.108,1.92,0.00606,5.96,0.0,397.25,1101.0,0,0.2924,1.0248,0.0132,5486.0,0.85,0.94,-0.176,4.55,1.86,1.6861,19h42m17.82s,295.57423,+42d48m23.13s,42.8064255,278.987
Kepler-744 b,Kepler-744,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,12.06222443,0.0993,1.62,0.145,3.26,0.0102,4.21,0.0,62.95,750.0,0,0.392,2.1007,0.0161,5594.0,0.93,0.94,-0.222,4.48,5.13,9.7949,19h45m59.05s,296.4960493,+47d10m58.03s,47.1827848,449.964
Kepler-745 b,Kepler-745,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,9.93143556,0.0915,2.16,0.193,5.31,0.0167,2.9,0.0,286.03,931.0,0,0.792,5.659,0.01922,5849.0,1.04,1.04,0.376,4.42,4.07,0.48669,19h25m59.87s,291.4994412,+37d03m33.33s,37.0592571,1780.38
Kepler-746 b,Kepler-746,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,3.48159251,0.0435,1.11,0.099,1.41,0.00444,5.67,0.0,421.61,1156.0,0,0.076,1.8389,0.01084,5418.0,0.93,0.91,-0.172,4.46,8.71,5.1037,19h22m43.73s,290.6822097,+37d21m18.57s,37.3551593,450.0
Kepler-747 b,Kepler-747,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,1,35.61760587,0.1916,5.27,0.47,24.1,0.0759,0.905,0.0,10.19,456.0,0,0.054,8.4208,0.0618,5096.0,0.78,0.82,-0.432,4.58,4.79,0.59966,19h13m39.96s,288.4165196,+41d01m47.34s,41.0298175,3347.16
Kepler-748 b,Kepler-748,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,7.40742793,0.0745,2.52,0.225,6.9,0.0217,2.37,0.0,439.78,938.0,0,0.042,3.5804,0.02121,5934.0,1.1,1.07,0.36,4.38,3.72,1.44884,19h29m03.09s,292.2628779,+37d14m13.10s,37.2369732,1705.99
Kepler-749 b,Kepler-749,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,17.31716585,0.1054,3.1,0.277,9.8,0.0308,1.81,0.0,24.63,454.0,0,0.4912,3.1599,0.03837,5009.0,0.75,0.79,-0.494,4.59,4.57,3.54617,19h59m35.36s,299.8973341,+43d54m14.64s,43.9040667,721.027
Kepler-75 b,Kepler-75,1,1,0,Transit,2013,0.95 m Kepler Telescope,Kepler CCD Array,0,8.8849116,0.0818,11.77,1.05,3209.9,10.1,11.0,0.57,106.48,767.0,0,0.13,2.0778,0.1212,5200.0,0.89,0.91,-0.215,4.5,6.2,1.85,19h24m33.03s,291.1376203,+36d34m38.44s,36.5773443,835.356
Kepler-750 b,Kepler-750,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,9.42887179,0.093,3.07,0.274,9.64,0.0303,1.83,0.0,255.74,1163.0,0,0.011,4.4123,0.02314,6160.0,1.23,1.15,0.344,4.32,3.09,0.9652,19h16m23.24s,289.0968274,+44d00m15.71s,44.004364,1296.02
Kepler-750 c,Kepler-750,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.08899022,0.0533,1.62,0.145,3.26,0.0102,4.21,0.0,778.59,1537.0,0,0.374,3.465,0.01236,6160.0,1.23,1.15,0.344,4.32,3.09,0.627,19h16m23.24s,289.0968274,+44d00m15.71s,44.004364,1296.02
Kepler-751 b,Kepler-751,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,17.44490636,0.1263,2.46,0.219,6.62,0.0208,2.44,0.0,39.01,679.0,0,0.2495,4.0988,0.02661,5387.0,0.84,0.87,-0.264,4.54,4.47,2.11123,19h39m22.51s,294.8438103,+44d04m39.67s,44.0776872,760.43
Kepler-752 b,Kepler-752,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,18.82747265,0.1353,2.81,0.251,8.3,0.0261,2.06,0.0,45.28,632.0,0,0.025,4.732,0.03109,5373.0,0.83,0.87,-0.125,4.54,4.07,1.61544,19h29m04.36s,292.2681469,+37d57m20.42s,37.955672,1232.29
Kepler-753 b,Kepler-753,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,5.74772501,0.054,1.91,0.17,4.31,0.0136,3.4,0.0,41.67,641.0,0,0.5717,1.8222,0.0267,4346.0,0.65,0.68,-0.865,4.65,3.63,4.41767,19h27m36.78s,291.9032411,+37d54m08.52s,37.9023677,274.767
Kepler-754 b,Kepler-754,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,14.5596237,0.116,2.01,0.179,4.7,0.0148,3.18,0.0,216.47,758.0,0,0.895,5.76,0.0167,5935.0,1.08,1.06,0.416,4.39,3.8,0.72319,19h33m00.99s,293.2541121,+37d50m46.15s,37.8461519,1770.27
Kepler-755 b,Kepler-755,2,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.26909037,0.0214,1.76,0.157,3.75,0.0118,3.78,0.0,889.89,1331.0,0,0.6,1.5736,0.02119,5043.0,0.77,0.82,-0.457,4.58,4.9,2.78725,19h47m26.62s,296.8609348,+41d05m50.34s,41.0973178,399.034
Kepler-755 c,Kepler-755,2,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.85313364,0.0367,1.26,0.112,2.13,0.00669,5.85,0.0,302.57,1016.0,0,0.82,1.4352,0.01534,5043.0,0.77,0.82,-0.457,4.58,4.9,7.67757,19h47m26.62s,296.8609348,+41d05m50.34s,41.0973178,399.034
Kepler-756 b,Kepler-756,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.22486632,0.0219,1.12,0.1,1.46,0.00459,5.71,0.0,2174.33,1741.0,0,0.67,1.7027,0.01319,5282.0,0.79,0.82,-0.358,4.57,4.47,2.17012,19h22m25.91s,290.6079736,+41d12m03.94s,41.201094,852.0
Kepler-757 b,Kepler-757,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.02267882,0.019,1.36,0.121,2.42,0.00761,5.29,0.0,3345.45,1734.0,0,0.6,1.3395,0.01078,6014.0,1.13,1.08,0.16,4.37,3.31,3.5012,19h46m43.32s,296.6804876,+41d23m11.50s,41.3865279,1068.68
Kepler-758 b,Kepler-758,1,4,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,12.1097104,0.1019,2.48,0.221,6.71,0.0211,2.42,0.0,349.19,1005.0,0,0.41,5.8,0.01583,6228.0,1.42,1.16,0.563,4.19,3.8,0.45714,19h32m20.31s,293.0846115,+41d08m07.46s,41.1354049,1502.32
Kepler-758 c,Kepler-758,1,4,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,4.75793986,0.0547,1.69,0.151,3.5,0.011,3.98,0.0,1211.82,1372.0,0,0.6614,4.677,0.01121,6228.0,1.42,1.16,0.563,4.19,3.8,0.1803,19h32m20.31s,293.0846115,+41d08m07.46s,41.1354049,1502.32
Kepler-758 d,Kepler-758,1,4,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,20.4966197,0.1447,2.12,0.189,5.14,0.0162,2.96,0.0,173.17,843.0,0,0.42,6.38,0.01362,6228.0,1.42,1.16,0.563,4.19,3.8,0.69277,19h32m20.31s,293.0846115,+41d08m07.46s,41.1354049,1502.32
Kepler-758 e,Kepler-758,1,4,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,8.1934719,0.0785,1.53,0.136,2.96,0.0093,4.54,0.0,588.4,1144.0,0,0.5,5.047,0.00999,6228.0,1.42,1.16,0.563,4.19,3.8,0.42398,19h32m20.31s,293.0846115,+41d08m07.46s,41.1354049,1502.32
Kepler-759 b,Kepler-759,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,41.805985,0.2329,2.27,0.203,5.77,0.0182,2.71,0.0,19.02,533.0,0,0.875,6.132,0.02038,5860.0,1.04,1.04,0.061,4.42,3.89,1.5122,19h20m31.54s,290.1314231,+41d22m53.16s,41.3814345,1073.48
Kepler-76 b,Kepler-76,1,1,0,Orbital Brightness Modulation,2013,0.95 m Kepler Telescope,Kepler CCD Array,0,1.5449298,0.0274,15.244,1.36,638.8383,2.01,1.1,0.0,3583.67,2140.0,0,0.9623,1.42784,0.1033,6409.0,1.32,1.2,0.451,4.2,0.62,0.96729,19h36m46.11s,294.1921185,+39d37m08.30s,39.6189727,822.96
Kepler-760 b,Kepler-760,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,8.70419416,0.0772,3.06,0.273,9.59,0.0302,1.84,0.0,84.41,748.0,0,0.5,2.9741,0.03286,5322.0,0.85,0.89,-0.28,4.54,4.57,2.12083,19h10m22.37s,287.5931997,+44d10m45.94s,44.1794278,792.336
Kepler-760 c,Kepler-760,1,2,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,2.46697439,0.0333,1.48,0.132,2.79,0.00879,4.73,0.0,453.65,1139.0,0,0.83,1.5646,0.01642,5322.0,0.85,0.89,-0.28,4.54,4.57,5.32948,19h10m22.37s,287.5931997,+44d10m45.94s,44.1794278,792.336
Kepler-761 b,Kepler-761,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,10.12804789,0.0874,2.03,0.181,4.78,0.015,3.14,0.0,95.45,767.0,0,0.882,3.3632,0.02036,5706.0,0.93,0.95,-0.117,4.48,4.07,2.35867,19h22m00.86s,290.503599,+44d08m37.05s,44.1436249,830.707
Kepler-763 b,Kepler-763,1,3,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.19655156,0.0205,1.22,0.109,1.98,0.00624,5.99,0.0,974.09,1414.0,0,0.2353,1.1901,0.01406,5166.0,0.8,0.84,-0.334,4.57,4.79,4.49591,19h28m34.69s,292.1445534,+47d09m26.50s,47.1573604,962.459
Kepler-763 c,Kepler-763,1,3,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,0,4.09667624,0.0466,1.42,0.146,2.6,0.00819,4.99,0.0,182.9,938.0,0,0.142,2.19,0.01546,4999.0,0.84,0.8,-0.334,4.49,2.1,3.35101,19h28m34.69s,292.1445534,+47d09m26.50s,47.1573604,962.459
Kepler-763 d,Kepler-763,1,3,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,0,6.50327035,0.0634,1.67,0.175,3.43,0.0108,4.05,0.0,98.81,804.0,0,0.08,2.591,0.01813,4999.0,0.84,0.8,-0.334,4.49,2.1,3.30276,19h28m34.69s,292.1445534,+47d09m26.50s,47.1573604,962.459
Kepler-764 b,Kepler-764,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,7.33683936,0.0724,1.64,0.146,3.33,0.0105,4.15,0.0,160.46,875.0,0,0.018,3.512,0.01719,5557.0,0.89,0.92,-0.136,4.51,4.17,1.4571,19h49m34.35s,297.3931183,+47d09m52.49s,47.1645814,1047.84
Kepler-765 b,Kepler-765,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,27.6655226,0.1754,2.43,0.217,6.48,0.0204,2.48,0.0,48.95,641.0,1,0.51,6.508,0.02066,5901.0,1.06,1.05,0.146,4.41,3.72,0.84868,18h52m44.31s,283.1846044,+47d09m20.56s,47.1557114,1076.28
Kepler-766 b,Kepler-766,1,1,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,6.10027804,0.066,3.39,0.302,11.4,0.0359,1.61,0.0,227.15,990.0,0,0.817,4.7487,0.02735,5992.0,1.15,1.1,0.451,4.36,3.63,0.52073,19h32m44.28s,293.1845144,+37d58m11.41s,37.9698357,2297.62
